,,2520,-6.67,-6.32,-5.37,-7.26,-10.14,-14.41,-19.04,-17.3,-32.17,-19.85,-11.65,-7.64,-6.67,,,,,,,,,,,,,,,,,
,,2530,-6.93,-6.59,-5.45,-7.63,-10.44,-15.37,-20.73,-17.87,-29.98,-20.57,-11.94,-7.85,-6.93,,,,,,,,,,,,,,,,,
,,2540,-7.09,-6.59,-5.59,-7.71,-10.68,-15.71,-23.8,-18.12,-28.2,-21.36,-12.02,-7.95,-7.09,,,,,,,,,,,,,,,,,
,,2550,-7.15,-6.54,-5.76,-8.07,-11.01,-16.06,-27.74,-18.02,-26.93,-22.45,-12.41,-8.02,-7.15,,,,,,,,,,,,,,,,,
,,2560,-7.19,-6.56,-5.75,-8.2,-11.31,-16.43,-31.97,-18.31,-26.11,-23.76,-12.42,-7.97,-7.19,,,,,,,,,,,,,,,,,
,,2570,-7.25,-6.51,-5.68,-8.3,-11.2,-16.13,-31.21,-17.61,-23.53,-24.99,-12.37,-8.02,-7.25,,,,,,,,,,,,,,,,,
,,2580,-7.41,-6.62,-5.73,-8.3,-11.11,-15.1,-25.52,-17.29,-21.84,-27.41,-12.73,-8.33,-7.41,,,,,,,,,,,,,,,,,
,,2590,-7.52,-6.75,-5.83,-8.32,-10.93,-14.91,-22.47,-16.72,-19.91,-31.99,-13.3,-8.66,-7.52,,,,,,,,,,,,,,,,,
,,2600,-8.05,-7.18,-6.34,-8.63,-10.84,-14.16,-19.66,-15.97,-18.63,-32.02,-14.17,-9.15,-8.05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,Phi Angle  (?,0,30,60,90,120,150,180,210,240,270,300,330,360,,,,,,,,,,,,,,,,,
,,Frequency  (MHz),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),Gain  (dBi),,,,,,,,,,,,,,,,,
,,2300,-5.02,-4.55,-4.26,-3.81,-3.38,-4.03,-5.3,-16.73,-20.62,-21.66,-22.19,-15.49,-5.02,,,,,,,,,,,,,,,,,
,,2310,-4.69,-4.43,-4.22,-3.84,-3.44,-3.96,-4.92,-14.94,-17.52,-19.42,-19.88,-14.52,-4.69,,,,,,,,,,,,,,,,,
,,2320,-4.68,-4.38,-4.4,-4.03,-3.67,-4,-4.87,-13.61,-15.7,-18.15,-17.76,-13.77,-4.68,,,,,,,,,,,,,,,,,
,,2330,-4.54,-4.37,-4.56,-4.28,-3.94,-4.13,-4.75,-12.7,-14.25,-16.59,-16.33,-13.25,-4.54,,,,,,,,,,,,,,,,,
,,2340,-4.43,-4.38,-4.74,-4.63,-4.19,-4.23,-4.64,-11.77,-13.63,-15.65,-15.14,-12.43,-4.43,,,,,,,,,,,,,,,,,
,,2350,-4.44,-4.54,-5.08,-5.1,-4.53,-4.53,-4.64,-10.88,-12.49,-14.65,-13.98,-11.57,-4.44,,,,,,,,,,,,,,,,,
,,2360,-4.44,-4.65,-5.34,-5.48,-4.92,-4.55,-4.48,-9.78,-11.69,-13.6,-12.53,-10.99,-4.44,,,,,,,,,,,,,,,,,
,,2370,-4.47,-4.81,-5.88,-5.93,-5.39,-4.6,-4.27,-8.93,-10.67,-12.99,-11.92,-10.38,-4.47,,,,,,,,,,,,,,,,,
,,2380,-4.55,-5.08,-6.35,-6.52,-5.78,-4.73,-4.08,-7.99,-9.89,-12.32,-10.94,-9.93,-4.55,,,,,,,,,,,,,,,,,
,,2390,-4.69,-5.43,-7.05,-7.44,-6.53,-4.88,-3.92,-7.19,-9.15,-11.57,-10.34,-9.6,-4.69,,,,,,,,,,,,,,,,,
,,2400,-4.86,-5.74,-7.61,-8.33,-7.48,-5.28,-3.96,-6.4,-8.42,-11.2,-9.69,-9.1,-4.86,,,,,,,,,,,,,,,,,
,,2410,-5.03,-6.07,-8.29,-9.17,-8.53,-5.86,-4.06,-5.69,-7.73,-10.57,-9.2,-9.02,-5.03,,,,,,,,,,,,,,,,,
,,2420,-5.06,-6.07,-8.68,-9.87,-9.93,-6.68,-4.32,-5.09,-7.18,-10.09,-8.52,-8.66,-5.06,,,,,,,,,,,,,,,,,
,,2430,-4.99,-6.05,-8.35,-9.75,-10.9,-7.62,-4.7,-4.68,-6.63,-9.57,-7.91,-8.36,-4.99,,,,,,,,,,,,,,,,,
,,2440,-4.63,-5.86,-8.09,-9.09,-11.23,-8.78,-5.18,-4.39,-6.28,-9.32,-7.3,-8.04,-4.63,,,,,,,,,,,,,,,,,
,,2450,-4.38,-5.69,-7.32,-8.15,-10.94,-10.08,-5.83,-4.3,-6.08,-9.2,-6.94,-7.85,-4.38,,,,,,,,,,,,,,,,,
,,2460,-4.33,-5.47,-6.9,-7.26,-10.12,-11.65,-6.62,-4.33,-6.01,-9.23,-6.62,-7.86,-4.33,,,,,,,,,,,,,,,,,
,,2470,-4.26,-5.35,-6.39,-6.49,-9.25,-13.49,-7.63,-4.5,-5.95,-9.19,-6.54,-7.87,-4.26,,,,,,,,,,,,,,,,,
,,2480,-4.34,-5.5,-6.18,-5.98,-8.59,-15.53,-8.79,-4.79,-6.22,-9.22,-6.58,-8.05,-4.34,,,,,,,,,,,,,,,,,
,,2490,-4.38,-5.51,-5.97,-5.59,-7.82,-17.16,-9.86,-4.94,-6.22,-9.57,-6.51,-8.2,-4.38,,,,,,,,,,,,,,,,,
,,2500,-4.6,-5.85,-5.92,-5.29,-7.45,-18.19,-10.66,-5.04,-6.2,-9.24,-6.44,-8.27,-4.6,,,,,,,,,,,,,,,,,
,,2510,-4.52,-5.91,-5.84,-5.17,-7.17,-18.56,-11.71,-5.25,-6.24,-9.24,-6.4,-8.37,-4.52,,,,,,,,,,,,,,,,,
,,2520,-4.64,-6.23,-5.96,-5.16,-7.03,-18.27,-12.64,-5.56,-6.24,-9.14,-6.35,-8.54,-4.64,,,,,,,,,,,,,,,,,
,,2530,-4.84,-6.3,-6.04,-5.38,-7.01,-17.52,-13.54,-5.9,-6.38,-8.97,-6.33,-8.49,-4.84,,,,,,,,,,,,,,,,,
,,2540,-4.78,-6.46,-6.17,-5.42,-6.96,-16.9,-14.73,-6.22,-6.55,-8.8,-6.25,-8.34,-4.78,,,,,,,,,,,,,,,,,
,,2550,-4.74,-6.51,-6.45,-5.55,-6.91,-16.15,-15.8,-6.43,-6.66,-8.84,-6.12,-8.2,-4.74,,,,,,,,,,,,,,,,,
,,2560,-4.72,-6.6,-6.49,-5.52,-6.83,-15.87,-16.75,-6.62,-6.84,-8.73,-6.14,-7.95,-4.72,,,,,,,,,,,,,,,,,
